provider,model,task_id,task_type,latency_ms,error,retrieved_ids,source_hit_rate,expected_term_coverage,grounded_overlap,linguistic_quality_1_5,context_respect_1_5,invented_data_1_5,recommendation_usefulness_1_5,answer_chars,answer
local,gemma4:latest,q_001,question,81320.71,,kb_003|kb_009|kb_001,1.0,,0.625,2.99,3.88,5.0,4.12,241,"Si la sessió té alta intensitat, pot contenir canvis de ritme, acceleracions o moviments exigents. Es recomana alternar aquests blocs amb recuperacions suficients. Recorda fer recuperació, hidratació i analitzar la càrrega després de sessió."
local,gemma4:latest,q_002,question,32112.72,,kb_006|kb_004|kb_005,1.0,,0.631578947368421,2.43,3.89,5.0,4.44,175,Les classes seure i dret són les més similars perquè totes dues són posturals i tenen patrons d'acceleració amb poca variació. Recomanem interpretar el resultat amb prudència.
local,gemma4:latest,q_003,question,37203.27,,kb_007|kb_004|kb_010,1.0,,0.6956521739130435,2.95,4.09,5.0,4.44,247,"El model seleccionat per a l'entrega final és **cnn_deep**. Te proporciona un **96,01% d'accuracy** i un **96,02% de F1 weighted**. Recomanem consultar la documentació sobre les limitacions del dataset per entendre les aplicacions de aquest model."
local,gemma4:latest,q_004,question,36662.78,,kb_008|kb_005|kb_010,1.0,,0.5428571428571428,2.92,3.63,5.0,4.44,335,"UCI HAR no conté etiquetes específiques de futbol com sprint, canvi de direcció, pressió o conducció de pilota. Per tant, encara que la integració tècnica sigui vàlida, no s'ha de presentar com un classificador final de rendiment futbolístic. Recomanem consultar els documents del RAG per més detalls sobre les limitacions del dataset."
local,gemma4:latest,q_005,question,38258.11,,kb_004|kb_005|kb_012,1.0,,0.8148148148148148,2.95,4.44,5.0,2.64,240,"Quan la confiança mitjana del model és baixa, interpreta la predicció amb prudència. Pot indicar soroll del sensor, mobil mal posicionat, activitat no representada al dataset o transicions entre moviments. Mostra el resultat com orientatiu."
local,gemma4:latest,q_006,question,38560.01,,kb_011|kb_010|kb_001,1.0,,0.6,2.43,3.8,5.0,4.12,146,La base documental del RAG es guarda a `ml/rag/data/knowledge_base.jsonl`. Recomanem consultar aquest fitxer per revisar la informació disponible.
local,gemma4:latest,s_001,session,47464.29,,kb_012|kb_003|kb_009,,0.3333333333333333,0.6111111111111112,3.47,3.83,5.0,3.75,194,"La sessió mostra activitat dominant d'alta intensitat amb 12 blocs intensos. Es recomana incloure recuperació i hidratació. Per la propera sessió, considera prioritzar la tècnica o la mobilitat."
local,gemma4:latest,s_002,session,38315.63,,kb_012|kb_001|kb_003,,0.3333333333333333,0.7272727272727273,3.47,4.18,5.0,3.75,249,"La sessió mostra activitat dominant de Repos i 0 blocs d'alta intensitat. Recomanem revisar si l'objectiu era una sessió de recuperació. Si l'objectiu era entrenament intens, considera incorporar blocs de carrera suau i exercicis tècnics amb pilota."
local,gemma4:latest,s_003,session,38700.36,,kb_002|kb_012|kb_003,,0.3333333333333333,0.75,2.95,4.25,5.0,3.75,186,"La sessió mostra un desplaçament suau, indicant carrega aeròbia baixa. Per progressar, es recomana afegir intervals curts de carrera moderada i controlar que la fatiga no augmenti massa."
local,gemma4:latest,s_004,session,43310.71,,kb_012|kb_003|kb_009,,0.0,0.6111111111111112,3.47,3.83,5.0,3.28,199,"La sessió mostra activitat dominant d'alta intensitat amb 7 blocs intensos en 16. Es recomana incloure recuperació i hidratació. Per la propera sessió, considera prioritzar la tècnica o la mobilitat."
local,qwen3.6:latest,q_001,question,,timed out,kb_003|kb_009|kb_001,1.0,,0.0,1.0,1.0,1.0,1.0,0,
local,qwen3.6:latest,q_002,question,104400.8,,kb_006|kb_004|kb_005,1.0,,0.5,3.96,3.5,5.0,4.44,470,"El model pot confondre seure i dret perquè són classes posturals amb patrons d'acceleració similars i poca variació. Com que el model està entrenat amb UCI HAR i no amb dades específiques de futbol, aquesta distinció és una aproximació; si la confiança és baixa, interpreta el resultat com orientatiu.

**Recomanació:** Verifica que el dispositiu estigui ben fixat i immòbil durant la captura de dades per minimitzar el soroll i millorar la precisió de la classificació."
local,qwen3.6:latest,q_003,question,74640.06,,kb_007|kb_004|kb_010,1.0,,0.7096774193548387,2.95,4.13,5.0,4.44,296,"El model seleccionat és **cnn_deep**. Les seves mètriques són:
*   **Accuracy:** 96,01%
*   **F1 weighted:** 96,02%
*   **Mida:** 55.208 bytes (TFLite)
*   **Inferència mitjana:** 0,078 ms

**Recomanació:** Monitoritza la confiança del model; si és baixa, interpreta el resultat com a orientatiu."
local,qwen3.6:latest,q_004,question,56113.64,,kb_008|kb_005|kb_010,1.0,,0.3793103448275862,2.43,3.14,5.0,4.12,300,"El dataset UCI HAR no inclou etiquetes específiques de futbol (com sprints o canvis de direcció), per la qual cosa SmarTrain no el presenta com un classificador final de rendiment, sinó com una aproximació tècnica. Es recomana validar la integració tècnica però interpretar les mètriques amb cautela."
local,qwen3.6:latest,q_005,question,60504.72,,kb_004|kb_005|kb_012,1.0,,0.4,3.47,3.2,5.0,4.44,338,"Una confiança baixa indica que la predicció s'ha d'interpretar amb prudència i com a orientativa, ja que pot reflectir soroll del sensor, una posició incorrecta del dispositiu o activitats no presents al conjunt de dades. **Recomanació:** Verifica la posició del mòbil i considera el resultat com una aproximació, no com un fet definitiu."
local,qwen3.6:latest,q_006,question,36994.81,,kb_011|kb_010|kb_001,1.0,,1.0,1.49,5.0,5.0,2.32,74,La base documental del RAG es guarda a `ml/rag/data/knowledge_base.jsonl`.
local,qwen3.6:latest,s_001,session,66710.74,,kb_012|kb_003|kb_009,,0.3333333333333333,0.46153846153846156,3.47,3.38,5.0,3.75,304,"La sessió s'ha caracteritzat per alta intensitat (12 blocs de 24), amb una confiança del 82%. Es recomana prioritzar la recuperació, l'hidratació i l'anàlisi de la càrrega post-sessió. Per a la propera activitat, es suggereix treballar la tècnica, la mobilitat o un aerobi suau per equilibrar la càrrega."
local,qwen3.6:latest,s_002,session,57005.14,,kb_012|kb_001|kb_003,,0.3333333333333333,0.6666666666666666,3.47,4.0,5.0,3.75,243,"L'activitat dominant ha estat el repos sense blocs d'alta intensitat. Es recomana revisar si la sessió era de recuperació o escalfament; si l'objectiu era entrenar, augmenta progressivament blocs de carrera suau i exercicis tècnics amb pilota."
local,qwen3.6:latest,s_003,session,57259.55,,kb_002|kb_012|kb_003,,0.3333333333333333,0.6,3.44,3.8,5.0,3.75,345,"La sessió s'ha classificat com a desplaçament suau amb una confiança del 88%, indicant una càrrega aeròbia baixa i un caràcter regeneratiu o tècnic. Tot i que hi ha 2 blocs d'alta intensitat, la predominància és de moviment suau. Per progressar, es recomana afegir intervals curts de carrera moderada i controlar que la fatiga no augmenti massa."
local,qwen3.6:latest,s_004,session,58511.77,,kb_012|kb_003|kb_009,,0.0,0.41379310344827586,2.95,3.24,5.0,3.28,340,"La sessió s'ha caracteritzat per alta intensitat amb una confiança moderada (48%). Atès que 7 de 16 blocs són d'alta intensitat, es recomana prioritzar la recuperació, la hidratació i l'anàlisi de la càrrega. Per a la propera sessió, es suggereix treballar la tècnica, la mobilitat o un treball aerobi suau per equilibrar l'estrès acumulat."
cloud,qwen3-coder-next,q_001,question,10198.5,,kb_003|kb_009|kb_001,1.0,,0.7419354838709677,2.47,4.23,5.0,4.12,290,"Indica que la sessió inclou molts canvis de ritme, acceleracions o moviments exigents (com pujar o baixar escales). Es recomana alternar aquests blocs amb recuperacions suficients i, si és la segona sessió intensa seguida, la propera pot prioritzar tecnica, mobilitat o treball aerobi suau."
cloud,qwen3-coder-next,q_002,question,2514.68,,kb_006|kb_004|kb_005,1.0,,0.6363636363636364,3.99,3.91,5.0,4.12,215,"Perquè totes dues són posturals amb patrons d’acceleració amb poca variació, i el model les considera similars en la matriu de confusió. Recomanació: agrupar-les com a baixa intensitat o repos en l’anàlisi de dades."
cloud,qwen3-coder-next,q_003,question,1154.89,,kb_007|kb_004|kb_010,1.0,,1.0,2.01,5.0,5.0,2.32,107,"S’ha seleccionat el model **cnn_deep**, amb una accuracy del **96,01 %** i una F1 weighted del **96,02 %**."
cloud,qwen3-coder-next,q_004,question,2450.54,,kb_008|kb_005|kb_010,1.0,,0.43243243243243246,4.48,3.3,5.0,4.12,396,"UCI HAR no inclou etiquetes específiques de futbol com sprint, canvi de direcció, pressió o conducció de pilota, per tant el model de SmarTrain no pot classificar aquestes activitats amb precisió. És una aproximació tècnica, no un classificador final de rendiment futbolístic. Recomanació: utilitzar dades específiques de futbol per entrenar o ajustar el model abans d’avaluar rendiment esportiu."
cloud,qwen3-coder-next,q_005,question,2808.05,,kb_004|kb_005|kb_012,1.0,,0.525,3.96,3.58,5.0,4.44,424,"Una confiança baixa del model indica que la prediccó ha de ser interpretada amb prudència, possiblement degut a soroll del sensor, mòbil mal posicionat, activitat no representada al dataset o transicions entre moviments. L’app ha de mostrar el resultat com orientatiu.  
**Recomanació accionable:** Verifica la col·locació del dispositiu i, si persisteix, revisa si l’activitat real coincideix amb les categories entrenades."
cloud,qwen3-coder-next,q_006,question,848.93,,kb_011|kb_010|kb_001,1.0,,1.0,1.49,5.0,5.0,2.32,74,La base documental del RAG es guarda a `ml/rag/data/knowledge_base.jsonl`.
cloud,qwen3-coder-next,s_001,session,5930.68,,kb_012|kb_003|kb_009,,0.6666666666666666,0.45,4.48,3.35,5.0,4.21,394,"La sessió ha tingut una activitat dominant d’alta intensitat, amb 12 blocs d’aquest tipus sobre un total de 24. Això suggerix canvis de ritme o moviments exigents (p. ex., pujar/baixar escales).  

**Recomanació accionable:** Prioritza una sessió de recuperació suau (aerobi leu, mobilitat o tècnica) a la propera sessió, acompanyada d’una bona hidratació i una anàlisi de la carrega acumulada."
cloud,qwen3-coder-next,s_002,session,1677.2,,kb_012|kb_001|kb_003,,0.6666666666666666,0.5769230769230769,2.47,3.73,5.0,4.21,282,"Sembla una sessió de recuperació o escalfament, donat l’alta proporció de repos i l’absència de blocs d’alta intensitat. Si l’objectiu era entrenament intens, incloreu progressivament blocs curts de carrera suau i exercicis tècnics amb pilota, alternats amb recuperacions adequades."
cloud,qwen3-coder-next,s_003,session,4394.56,,kb_002|kb_012|kb_003,,0.6666666666666666,0.4444444444444444,4.48,3.33,4.4,4.21,410,"La sessió mostra una activitat dominant de desplacament suau amb confiança mitjana del 88% i només 2 blocs d’alta intensitat. Això indica una carrega aeròbia baixa, adequada per a regeneració o fase tècnica. Per progressar, recomano afegir 2–3 intervals curts de carrera moderada (ex: 30 segons a 1 min) cada 10 minuts, amb recuperació activa entre ells, i monitoritzar la fatiga per evitar l’augment excessiu."
cloud,qwen3-coder-next,s_004,session,1805.15,,kb_012|kb_003|kb_009,,0.0,0.4642857142857143,3.47,3.39,5.0,3.28,308,"La sessió ha tingut una activitat dominant d’alta intensitat amb una confiança mitjana del 48% i 7 blocs d’alta intensitat de 16. Recomanació: inclou una recuperació activa suau, assegura una bona hidratació i, a la propera sessió, prioritza tècnica, mobilitat o treball aerobi suau per compensar la càrrega."
cloud,gemma3:4b,q_001,question,597.63,,kb_003|kb_009|kb_001,1.0,,0.8,2.57,4.4,5.0,4.12,113,"Si la sessió té molta alta intensitat, es recomana alternar blocs d'alta intensitat amb recuperacions suficients."
cloud,gemma3:4b,q_002,question,667.89,,kb_006|kb_004|kb_005,1.0,,0.6666666666666666,2.95,4.0,5.0,4.44,157,"El model pot confondre seure i dret perquè són classes similars, amb patrons d'acceleració amb poca variació. Es recomana mostrar el resultat com orientatiu."
cloud,gemma3:4b,q_003,question,917.53,,kb_007|kb_004|kb_010,1.0,,0.8,2.43,4.4,5.0,2.64,204,"El model final seleccionat és cnn_deep. Té un 96,01% d'accuracy i un 96,02% de F1 weighted. La inferència mitjana és de 0,078 ms. En cas de baixa confiança, la predicció ha d'interpretar-se amb prudència."
cloud,gemma3:4b,q_004,question,754.84,,kb_008|kb_005|kb_010,1.0,,0.6666666666666666,2.43,4.0,5.0,2.32,249,"UCI HAR no té etiquetes específiques de futbol com sprint, canvi de direcció, pressió o conducció de pilota. Per tant, el model de SmarTrain valida la integració tècnica, però no s'ha de presentar com un classificador final de rendiment futbolístic."
cloud,gemma3:4b,q_005,question,682.21,,kb_004|kb_005|kb_012,1.0,,1.0,1.49,5.0,5.0,2.64,47,L'app ha de mostrar el resultat com orientatiu.
cloud,gemma3:4b,q_006,question,783.29,,kb_011|kb_010|kb_001,1.0,,1.0,1.49,5.0,5.0,2.32,72,La base documental del RAG es guarda a ml/rag/data/knowledge_base.jsonl.
cloud,gemma3:4b,s_001,session,685.97,,kb_012|kb_003|kb_009,,0.3333333333333333,0.5,3.47,3.5,5.0,3.75,177,"Considerant que la sessió ha tingut una activitat dominant d'alta intensitat i 12 blocs d'alta intensitat en 24 blocs, es recomana incloure recuperació després d'aquesta sessió."
cloud,gemma3:4b,s_002,session,635.78,,kb_012|kb_001|kb_003,,0.3333333333333333,0.6428571428571429,2.95,3.93,5.0,3.75,156,La sessió ha tingut una activitat dominant de repos i una confiança mitjana alta. Recomano revisar si la sessió era una sessió de recuperació o escalfament.
cloud,gemma3:4b,s_003,session,671.42,,kb_002|kb_012|kb_003,,0.3333333333333333,0.7222222222222222,2.43,4.17,5.0,3.75,177,"La sessió ha estat dominada per un desplaçament suau amb una confiança mitjana alta. Es recomana afegir intervals curts de carrera moderada per progressar, controlant la fatiga."
cloud,gemma3:4b,s_004,session,633.19,,kb_012|kb_003|kb_009,,0.0,0.5333333333333333,2.95,3.6,5.0,3.28,122,"Es recomana incloure recuperació després d'aquesta sessió, ja que hi ha hagut un nombre elevat de blocs d'alta intensitat."
cloud,gpt-oss:20b,q_001,question,1339.8,,kb_003|kb_009|kb_001,1.0,,0.47619047619047616,3.44,3.43,5.0,4.12,421,"Una sessió amb molta alta intensitat indica que la major part de l’entrenament es va dedicar a blocs exigents (p. ex. pujar/baixar escales, acceleracions, moviments intensos).  
**Recomanació accionable:** inclou una fase de recuperació activa, hidrata’t adequadament i analitza la càrrega. Si la sessió ha estat massa intensa, la propera pot prioritzar tècnica, mobilitat o treball aeròbi suau per equilibrar la càrrega."
cloud,gpt-oss:20b,q_002,question,1724.96,,kb_006|kb_004|kb_005,1.0,,0.46511627906976744,3.96,3.4,5.0,4.44,424,"El model pot confondre **seure** i **dret** perquè ambdues postures són posturals i presenten patrons d’acceleració molt similars, amb poca variació. Això fa que la seva detecció sigui difícil i es consideri una confusió esperable.  

**Recomanació accionable:** Agrupa aquestes dues classes com a “baixa intensitat o repos” quan s’interpreti la informació, i mostra el resultat com orientatiu quan la confiança sigui baixa."
cloud,gpt-oss:20b,q_003,question,1717.74,,kb_007|kb_004|kb_010,1.0,,0.7142857142857143,2.01,4.14,5.0,2.32,52,"El model final seleccionat és **cnn_deep**.  
**Mètr"
cloud,gpt-oss:20b,q_004,question,2026.09,,kb_008|kb_005|kb_010,1.0,,0.5,2.95,3.5,5.0,4.12,239,"UCI HAR no inclou etiquetes específiques de futbol (sprint, canvi de direcció, pressió, conducció de pilota). Per això, el model no pot ser presentat com a classificador final de rendiment futbolístic.  

**Recomanació**: si vols analitzar"
cloud,gpt-oss:20b,q_005,question,1574.9,,kb_004|kb_005|kb_012,1.0,,0.4864864864864865,3.44,3.46,5.0,4.44,369,"Una confiança baixa indica que la finestra de sensor no s’assembla clarament a cap classe entrenada. Això pot ser degut a soroll, posicionament incorrecte del dispositiu, activitats no cobertes pel dataset o transicions entre moviments.  
**Recomanació**: Tracta el resultat com a orientatiu; revisa la posició del sensor i assegura‑te que el dispositiu estigui ben fix"
cloud,gpt-oss:20b,q_006,question,950.39,,kb_011|kb_010|kb_001,1.0,,0.8888888888888888,1.49,4.67,5.0,2.32,84,La base documental del RAG es guarda a la ruta **ml/rag/data/knowledge_base.jsonl**.
cloud,gpt-oss:20b,s_001,session,1474.78,,kb_012|kb_003|kb_009,,0.3333333333333333,0.2222222222222222,2.43,2.67,3.6,3.75,252,"Inclou 5‑10 min de recuperació activa (p. ex., caminar lentament o estiraments lleugers) després de cada bloc d’alta intensitat. Hidrata’t adequadament i, la propera sessió, prioritza tècnica, mobilitat o treball aeròbic suau per equilibrar la càrrega."
cloud,gpt-oss:20b,s_002,session,1664.67,empty response,kb_012|kb_001|kb_003,,0.0,0.0,1.0,1.0,1.0,1.0,0,
cloud,gpt-oss:20b,s_003,session,1644.06,empty response,kb_002|kb_012|kb_003,,0.0,0.0,1.0,1.0,1.0,1.0,0,
cloud,gpt-oss:20b,s_004,session,1626.09,,kb_012|kb_003|kb_009,,0.0,0.5,2.53,3.5,5.0,3.28,89,"Després d’una sessió amb 7 blocs d’alta intensitat (48 % de confiança), recomanem:

1. **"
